14,2	41.927916	-87.812653	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	100.00	1
14,3	41.927916	-87.792653	1	4.55	0	0.00	1	4.55	2	9.09	3	13.64	0	0.00	0	0.00	15	68.18	22
14,4	41.927916	-87.772653	2	14.29	0	0.00	0	0.00	2	14.29	0	0.00	1	7.14	0	0.00	9	64.29	14
14,5	41.927916	-87.752653	9	37.50	1	4.17	0	0.00	1	4.17	3	12.50	0	0.00	0	0.00	10	41.67	24
14,6	41.927916	-87.732653	0	0.00	0	0.00	0	0.00	2	7.14	4	14.29	4	14.29	0	0.00	18	64.29	28
14,7	41.927916	-87.712653	3	13.04	2	8.70	0	0.00	2	8.70	6	26.09	1	4.35	0	0.00	9	39.13	23
14,8	41.927916	-87.692653	8	10.67	2	2.67	2	2.67	8	10.67	19	25.33	4	5.33	0	0.00	32	42.67	75
14,9	41.927916	-87.672653	8	12.12	3	4.55	1	1.52	10	15.15	19	28.79	2	3.03	0	0.00	23	34.85	66
15,1	41.947916	-87.832653	1	16.67	2	33.33	0	0.00	0	0.00	3	50.00	0	0.00	0	0.00	0	0.00	6
15,10	41.947916	-87.652653	42	23.46	21	11.73	2	1.12	14	7.82	19	10.61	8	4.47	2	1.12	71	39.66	179
15,11	41.947916	-87.632653	0	0.00	1	5.00	0	0.00	1	5.00	2	10.00	4	20.00	1	5.00	11	55.00	20
15,2	41.947916	-87.812653	3	21.43	3	21.43	0	0.00	1	7.14	2	14.29	1	7.14	0	0.00	4	28.57	14
15,3	41.947916	-87.792653	0	0.00	1	6.25	1	6.25	0	0.00	2	12.50	2	12.50	0	0.00	10	62.50	16
15,4	41.947916	-87.772653	3	15.00	3	15.00	0	0.00	2	10.00	3	15.00	1	5.00	0	0.00	8	40.00	20
15,5	41.947916	-87.752653	0	0.00	1	8.33	0	0.00	0	0.00	2	16.67	1	8.33	0	0.00	8	66.67	12
15,6	41.947916	-87.732653	0	0.00	2	6.25	0	0.00	7	21.88	4	12.50	4	12.50	0	0.00	15	46.88	32
15,7	41.947916	-87.712653	4	10.26	1	2.56	0	0.00	0	0.00	5	12.82	1	2.56	1	2.56	27	69.23	39
15,8	41.947916	-87.692653	2	5.00	1	2.50	0	0.00	7	17.50	12	30.00	1	2.50	0	0.00	17	42.50	40
15,9	41.947916	-87.672653	12	13.48	4	4.49	0	0.00	9	10.11	29	32.58	6	6.74	0	0.00	29	32.58	89
16,0	41.967916	-87.852653	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	100.00	1
16,1	41.967916	-87.832653	2	40.00	0	0.00	0	0.00	0	0.00	1	20.00	0	0.00	0	0.00	2	40.00	5
16,10	41.967916	-87.652653	5	8.33	5	8.33	1	1.67	6	10.00	12	20.00	3	5.00	1	1.67	27	45.00	60
16,3	41.967916	-87.792653	1	7.69	1	7.69	0	0.00	0	0.00	3	23.08	3	23.08	0	0.00	5	38.46	13
16,4	41.967916	-87.772653	3	20.00	5	33.33	0	0.00	1	6.67	1	6.67	3	20.00	0	0.00	2	13.33	15
16,5	41.967916	-87.752653	1	5.26	1	5.26	0	0.00	1	5.26	2	10.53	1	5.26	0	0.00	13	68.42	19
16,6	41.967916	-87.732653	1	4.00	4	16.00	0	0.00	2	8.00	3	12.00	0	0.00	1	4.00	14	56.00	25
16,7	41.967916	-87.712653	2	15.38	0	0.00	1	7.69	1	7.69	2	15.38	1	7.69	0	0.00	6	46.15	13
16,8	41.967916	-87.692653	6	14.29	4	9.52	0	0.00	6	14.29	1	2.38	3	7.14	0	0.00	22	52.38	42
16,9	41.967916	-87.672653	1	1.64	7	11.48	0	0.00	18	29.51	10	16.39	5	8.20	2	3.28	18	29.51	61
17,0	41.987916	-87.852653	0	0.00	0	0.00	0	0.00	1	20.00	2	40.00	1	20.00	0	0.00	1	20.00	5
17,1	41.987916	-87.832653	0	0.00	0	0.00	0	0.00	1	25.00	3	75.00	0	0.00	0	0.00	0	0.00	4
17,10	41.987916	-87.652653	2	4.65	5	11.63	1	2.33	2	4.65	12	27.91	5	11.63	0	0.00	16	37.21	43
17,2	41.987916	-87.812653	0	0.00	2	33.33	0	0.00	0	0.00	1	16.67	1	16.67	0	0.00	2	33.33	6
17,3	41.987916	-87.792653	0	0.00	0	0.00	1	6.25	2	12.50	2	12.50	2	12.50	0	0.00	9	56.25	16
17,4	41.987916	-87.772653	1	5.56	2	11.11	2	11.11	1	5.56	1	5.56	2	11.11	0	0.00	9	50.00	18
17,5	41.987916	-87.752653	0	0.00	2	66.67	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	33.33	3
17,6	41.987916	-87.732653	0	0.00	6	42.86	0	0.00	2	14.29	1	7.14	0	0.00	0	0.00	5	35.71	14
17,7	41.987916	-87.712653	1	5.26	5	26.32	0	0.00	1	5.26	1	5.26	2	10.53	0	0.00	9	47.37	19
17,8	41.987916	-87.692653	3	9.38	1	3.12	0	0.00	6	18.75	2	6.25	3	9.38	0	0.00	17	53.12	32
17,9	41.987916	-87.672653	1	2.63	6	15.79	0	0.00	4	10.53	6	15.79	3	7.89	0	0.00	18	47.37	38
18,10	42.007916	-87.652653	0	0.00	0	0.00	0	0.00	0	0.00	5	83.33	1	16.67	0	0.00	0	0.00	6
18,2	42.007916	-87.812653	0	0.00	1	11.11	0	0.00	0	0.00	2	22.22	1	11.11	0	0.00	5	55.56	9
18,3	42.007916	-87.792653	0	0.00	1	25.00	0	0.00	3	75.00	0	0.00	0	0.00	0	0.00	0	0.00	4
18,7	42.007916	-87.712653	0	0.00	0	0.00	0	0.00	0	0.00	5	41.67	2	16.67	0	0.00	5	41.67	12
18,8	42.007916	-87.692653	1	2.04	5	10.20	1	2.04	11	22.45	6	12.24	4	8.16	0	0.00	21	42.86	49
18,9	42.007916	-87.672653	3	11.54	1	3.85	0	0.00	3	11.54	7	26.92	0	0.00	0	0.00	12	46.15	26
19,7	42.027916	-87.712653	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	100.00	2
19,8	42.027916	-87.692653	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	100.00	1
19,9	42.027916	-87.672653	0	0.00	0	0.00	0	0.00	0	0.00	2	33.33	0	0.00	0	0.00	4	66.67	6
2,10	41.687916	-87.652653	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	50.00	0	0.00	1	50.00	2
2,11	41.687916	-87.632653	1	10.00	0	0.00	1	10.00	0	0.00	1	10.00	0	0.00	0	0.00	7	70.00	10
2,12	41.687916	-87.612653	1	25.00	0	0.00	0	0.00	1	25.00	0	0.00	0	0.00	0	0.00	2	50.00	4
2,13	41.687916	-87.592653	0	0.00	0	0.00	0	0.00	0	0.00	2	100.00	0	0.00	0	0.00	0	0.00	2
2,15	41.687916	-87.552653	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	100.00	1
2,16	41.687916	-87.532653	0	0.00	0	0.00	0	0.00	1	100.00	0	0.00	0	0.00	0	0.00	0	0.00	1
2,7	41.687916	-87.712653	0	0.00	1	16.67	0	0.00	2	33.33	0	0.00	0	0.00	0	0.00	3	50.00	6
2,8	41.687916	-87.692653	0	0.00	0	0.00	0	0.00	0	0.00	1	50.00	1	50.00	0	0.00	0	0.00	2
2,9	41.687916	-87.672653	0	0.00	0	0.00	0	0.00	0	0.00	4	36.36	0	0.00	0	0.00	7	63.64	11
3,10	41.707916	-87.652653	0	0.00	0	0.00	0	0.00	1	33.33	0	0.00	1	33.33	0	0.00	1	33.33	3
3,11	41.707916	-87.632653	2	28.57	0	0.00	0	0.00	2	28.57	1	14.29	0	0.00	0	0.00	2	28.57	7
3,12	41.707916	-87.612653	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	100.00	2
3,13	41.707916	-87.592653	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	100.00	1
3,15	41.707916	-87.552653	0	0.00	0	0.00	0	0.00	1	50.00	0	0.00	0	0.00	0	0.00	1	50.00	2
3,16	41.707916	-87.532653	2	33.33	0	0.00	0	0.00	1	16.67	0	0.00	0	0.00	0	0.00	3	50.00	6
3,7	41.707916	-87.712653	0	0.00	1	100.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1
3,8	41.707916	-87.692653	0	0.00	0	0.00	0	0.00	1	50.00	1	50.00	0	0.00	0	0.00	0	0.00	2
3,9	41.707916	-87.672653	0	0.00	0	0.00	0	0.00	2	25.00	3	37.50	1	12.50	0	0.00	2	25.00	8
4,10	41.727916	-87.652653	2	11.76	0	0.00	2	11.76	1	5.88	1	5.88	3	17.65	0	0.00	8	47.06	17
4,11	41.727916	-87.632653	0	0.00	0	0.00	0	0.00	1	25.00	0	0.00	0	0.00	0	0.00	3	75.00	4
4,12	41.727916	-87.612653	1	20.00	0	0.00	0	0.00	1	20.00	0	0.00	0	0.00	0	0.00	3	60.00	5
4,13	41.727916	-87.592653	1	6.25	0	0.00	2	12.50	4	25.00	2	12.50	0	0.00	0	0.00	7	43.75	16
4,14	41.727916	-87.572653	0	0.00	0	0.00	0	0.00	1	8.33	1	8.33	1	8.33	0	0.00	9	75.00	12
4,15	41.727916	-87.552653	0	0.00	0	0.00	0	0.00	1	25.00	2	50.00	0	0.00	0	0.00	1	25.00	4
4,16	41.727916	-87.532653	0	0.00	0	0.00	0	0.00	2	50.00	0	0.00	0	0.00	0	0.00	2	50.00	4
4,6	41.727916	-87.732653	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	100.00	2
4,7	41.727916	-87.712653	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	100.00	1
4,8	41.727916	-87.692653	0	0.00	0	0.00	0	0.00	1	100.00	0	0.00	0	0.00	0	0.00	0	0.00	1
4,9	41.727916	-87.672653	2	20.00	1	10.00	0	0.00	1	10.00	1	10.00	1	10.00	0	0.00	4	40.00	10
5,10	41.747916	-87.652653	0	0.00	1	11.11	0	0.00	1	11.11	4	44.44	0	0.00	0	0.00	3	33.33	9
5,11	41.747916	-87.632653	2	16.67	0	0.00	1	8.33	3	25.00	4	33.33	0	0.00	0	0.00	2	16.67	12
5,12	41.747916	-87.612653	1	16.67	0	0.00	0	0.00	2	33.33	0	0.00	0	0.00	0	0.00	3	50.00	6
