0,0	23
0,13	1
0,14	4
0,15	1
0,3	6
0,4	80
0,5	47
0,6	64
0,9	12
1,0	4
1,1	8
1,10	2
1,11	9
1,14	32
1,2	12
1,3	235
1,4	96
1,5	16
1,6	7
1,7	33
1,8	5
1,9	19
10,0	10
10,1	10
10,10	130
10,11	321
10,12	217
10,14	1
10,2	10
10,3	6
10,4	12
10,5	23
10,6	15
10,7	29
10,8	12
10,9	68
11,0	6
11,1	25
11,10	569
11,11	2299
11,12	1066
11,2	53
11,3	57
11,4	23
11,5	11
11,6	2
11,7	17
11,8	43
11,9	172
12,0	8
12,1	8
12,10	1268
12,11	15814
12,12	2898
12,13	29
12,2	207
12,3	275
12,4	24
12,5	8
12,6	3
12,7	47
12,8	94
12,9	688
13,0	43
13,1	28
13,10	915
13,11	2344
13,12	108
13,2	61
13,3	31
13,4	9
13,5	7
13,6	5
13,7	29
13,8	539
13,9	1877
14,0	19
14,1	28
14,10	1776
14,11	632
14,2	13
14,3	58
14,4	4
14,5	3
14,6	32
14,7	281
14,8	650
14,9	584
15,0	16
15,1	4
15,10	4405
15,11	109
15,2	240
15,3	20
15,4	36
15,5	32
15,6	102
15,7	249
15,8	367
15,9	1399
16,0	7
16,1	158
16,10	574
16,11	24
16,2	74
16,3	25
16,4	38
16,5	158
16,6	44
16,7	308
16,8	1110
16,9	1036
17,0	239
17,1	208
17,10	372
17,2	74
17,3	58
17,4	25
17,5	43
17,6	5
17,7	71
17,8	69
17,9	622
18,0	2
18,1	29
18,10	80
18,2	41
18,3	12
18,4	139
18,5	81
18,6	23
18,7	38
18,8	16
18,9	171
19,0	3
19,1	1
19,2	1
19,3	12
19,4	2
19,5	3
19,6	2
19,7	10
19,8	19
19,9	47
2,0	1
2,1	48
2,12	2
2,13	1
2,17	7
2,2	70
2,3	23
2,4	11
2,5	3
2,6	18
2,7	8
2,8	2
2,9	2
3,1	3
3,10	5
3,11	6
3,16	74
3,2	33
3,3	81
3,4	89
3,6	28
3,7	2
3,8	15
3,9	17
4,1	4
4,11	5
4,12	3
4,14	27
4,15	21
4,16	7
4,2	26
4,3	24
4,4	26
4,5	52
4,6	54
4,7	31
4,8	30
4,9	18
5,0	3
5,1	6
5,10	1
5,11	2
5,12	9
5,13	5
5,14	2
5,15	2
5,2	89
5,3	66
5,4	3
5,5	15
5,6	23
5,7	3
6,0	1
6,1	20
6,11	4
6,12	5
6,14	8
6,15	2
6,2	39
6,3	22
6,4	16
6,5	27
6,6	40
6,7	3
6,8	1
7,0	12
7,10	1
7,11	18
7,12	22
7,13	473
7,14	33
7,2	15
7,3	90
7,4	19
7,5	1274
7,6	729
7,7	9
7,9	3
8,0	14
8,1	9
8,10	3
8,11	8
8,12	24
8,13	90
8,2	2
8,3	15
8,4	14
8,5	33
8,6	53
8,7	33
8,8	8
8,9	9
9,0	31
9,1	243
9,10	93
9,11	425
9,12	35
9,2	37
9,3	40
9,4	24
9,5	7
9,6	6
9,7	4
9,8	13
9,9	32
